""	"Gene"	"GSM6160812"	"GSM6160813"	"GSM6160814"	"GSM6160821"	"GSM6160822"	"GSM6160823"
"15837"	"LOC105375492"	0	0	1	0	0	1
"15838"	"SND1-IT1"	8	1	2	2	2	1
"15839"	"LRRC4"	0	1	0	2	0	0
"15840"	"MIR593"	2	0	0	0	0	0
"15841"	"LOC105375493"	0	0	0	0	0	0
"15842"	"MIR129-1"	0	0	0	0	0	0
"15843"	"LOC105375494"	1	0	0	0	1	0
"15844"	"LEP"	0	0	0	0	0	0
"15845"	"RBM28"	2524	2180	2315	2072	2306	2231
"15846"	"PRRT4"	26	30	33	14	8	19
"15847"	"LOC107986845"	31	27	40	24	26	23
"15848"	"IMPDH1"	3492	3671	3706	3254	3027	2821
"15849"	"HILPDA-AS1"	131	172	149	64	77	66
"15850"	"HILPDA"	1054	1130	1130	580	679	549
"15851"	"METTL2B"	1609	1695	1555	1222	1169	1201
"15852"	"LOC101928451"	221	186	157	221	229	226
"15853"	"LINC01000"	825	916	824	742	901	688
"15854"	"GARIN1A"	82	76	63	34	35	42
"15855"	"GARIN1B"	0	0	2	2	0	3
"15856"	"CALU"	10798	10551	10408	10430	10822	11141
"15857"	"OPN1SW"	50	43	51	33	42	59
"15858"	"TRP-AGG2-3"	0	0	0	0	0	0
"15859"	"CCDC136"	163	190	152	148	164	165
"15860"	"LOC107986846"	0	0	0	0	0	0
"15861"	"FLNC"	89	92	78	193	203	224
"15862"	"FLNC-AS1"	4	0	2	4	7	9
"15863"	"ATP6V1F"	2803	2982	3255	3309	3137	2947
"15864"	"ATP6V1FNB"	45	34	61	43	22	26
"15865"	"KCP"	9	11	15	12	15	10
"15866"	"LOC105375497"	2	3	1	8	3	3
"15867"	"IRF5"	470	556	519	651	679	674
"15868"	"TNPO3"	4456	4450	4168	4404	4463	4222
"15869"	"TPI1P2"	63	54	58	55	68	59
"15870"	"LOC407835"	5	5	6	7	6	3
"15871"	"TSPAN33"	613	521	572	377	415	435
"15872"	"SMO"	1356	1387	1428	1160	1175	1175
"15873"	"AHCYL2"	1781	1729	1624	1490	1638	1633
"15874"	"LOC105375500"	0	2	2	0	0	0
"15875"	"LOC107986847"	15	13	10	9	11	19
"15876"	"STRIP2"	1171	1093	1022	1220	1310	1150
"15877"	"SMKR1"	253	293	280	237	203	238
"15878"	"LOC107986848"	0	0	0	0	0	2
"15879"	"NRF1"	674	582	611	684	728	646
"15880"	"LOC105375501"	0	0	0	0	3	2
